loopIteration,time (us),axisRate[0],axisRate[1],axisRate[2],axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcData[0],rcData[1],rcData[2],rcData[3],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbat (V),magADC[0],magADC[1],magADC[2],BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroRaw[0],gyroRaw[1],gyroRaw[2],accSmooth[0],accSmooth[1],accSmooth[2],accVib,quaternion[0],quaternion[1],quaternion[2],quaternion[3],motor[0],servo[0],servo[1],navState,navFlags,navEPH,navEPV,navPos[0],navPos[1],navPos[2],navVel[0],navVel[1],navVel[2],navTgtVel[0],navTgtVel[1],navTgtVel[2],navTgtPos[0],navTgtPos[1],navTgtPos[2],navTgtHdg,navSurf,activeWpNumber,flightModeFlags (flags),activeFlightModeFlags,stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid,rxUpdateRate,hwHealthStatus,powerSupplyImpedance,sagCompensatedVBat,wind[0],wind[1],wind[2],mspOverrideFlags,IMUTemperature,baroTemperature,sens0Temp,sens1Temp,sens2Temp,sens3Temp,sens4Temp,sens5Temp,sens6Temp,sens7Temp,escRPM,escTemperature
0,187097648,2,25,0,-2,4,2,0,0,0,0,0,3,58,0,1500,1500,1500,987,0,0,0,1050,12.580,345,-130,-962,290,1023,8,3,-5,6,3,-4,389,-27,1959,66,9960,-17,-743,493,1000,1562,1436,26,37,146,283,274,27,0,11,1,1,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,118,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
32,187114337,2,25,0,-1,4,2,0,0,0,0,0,3,58,0,1498,1500,1500,988,0,0,0,1050,12.580,345,-130,-962,281,1023,5,3,-4,4,4,-4,387,35,1973,71,9961,-7,-739,486,1000,1562,1436,26,37,146,283,274,27,0,12,0,2,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,139,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
64,187131408,1,25,0,0,4,2,0,0,0,0,0,2,58,0,1498,1500,1500,990,0,0,0,1050,12.580,340,-112,-976,281,1023,2,4,-4,1,5,-5,377,66,1989,69,9961,-1,-735,480,1000,1560,1436,26,37,146,283,274,27,0,12,0,2,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,160,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
96,187148123,1,25,0,0,4,3,0,0,0,0,0,2,57,0,1500,1500,1500,990,0,0,0,1050,12.580,340,-112,-976,290,1023,0,6,-5,-1,7,-6,354,62,1989,66,9962,1,-730,471,1000,1559,1435,26,37,146,283,274,27,0,12,0,2,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,160,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
128,187164721,1,25,0,0,3,4,0,0,0,0,0,1,57,0,1500,1500,1500,990,0,0,0,1050,12.580,340,-112,-976,290,1023,-1,8,-7,0,10,-9,316,68,1983,64,9963,1,-722,460,1000,1558,1436,26,37,146,283,274,27,0,12,0,2,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,149,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
160,187181446,1,25,0,0,3,6,0,0,0,0,0,1,56,0,1500,1500,1500,990,0,0,0,1050,12.580,340,-112,-976,290,1023,1,11,-10,2,12,-11,296,75,1976,61,9965,2,-709,446,1000,1557,1439,26,37,146,283,274,27,0,12,-1,2,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,113,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
192,187198199,0,24,0,0,2,7,0,0,0,0,0,1,56,0,1500,1500,1500,988,0,0,0,1050,12.580,340,-112,-976,290,1023,2,14,-12,3,15,-12,273,45,1983,61,9967,5,-692,429,1000,1558,1442,26,37,146,283,274,27,0,11,-2,2,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,113,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
224,187214859,0,24,0,0,2,7,0,0,0,0,0,1,54,0,1498,1500,1500,988,0,0,0,1050,12.580,340,-112,-976,290,1023,2,16,-12,2,16,-12,250,18,1999,59,9969,8,-671,411,1000,1556,1444,26,37,146,283,274,27,0,10,-2,3,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,113,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
256,187231761,0,23,0,0,2,7,0,0,0,0,0,1,53,0,1498,1500,1500,988,0,0,0,1050,12.580,367,-71,-968,290,1023,1,15,-12,0,14,-11,243,11,1998,55,9971,11,-648,391,1000,1555,1445,26,37,146,283,274,27,0,10,-2,3,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,158,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
288,187248590,0,23,0,1,2,6,0,0,0,0,0,0,52,0,1500,1500,1500,988,0,0,0,1050,12.580,367,-71,-968,290,1023,-2,13,-11,-3,12,-10,237,-3,1997,53,9973,10,-627,372,1000,1552,1444,26,37,146,283,274,27,0,9,-2,3,0,0,0,0,0,0,0,0,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,158,341,0,0,0,0,0,1,516,549,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
